factor,factor_name
factor_25,"Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести"
factor_26,"Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете"
factor_27,Всего прекращено дел в связи с установлением личности
factor_28,Количество (остаток) неразысканных преступников по отношению к 2011 году (%)
factor_29,Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)
factor_30,"Всего дел по установлению личности граждан по неопознанным трупам, находившихся на учете"
factor_31,Всего прекращено дел в связи с установлением личности граждан по неопознанным трупам
factor_32,"Количество выявленных сотрудниками подразделений по делам несовершеннолетних, дознания, ППС, ГИБДД, вневедомственной охраны, участковыми уполномоченными полиции несовершеннолетних, подозреваемых в совершении преступления"
factor_33,"Количество выявленных сотрудниками подразделений по делам несовершеннолетних, дознания, ППС, ГИБДД, вневедомственной охраны, участковыми уполномоченными полиции несовершеннолетних, совершивших административные правонарушения"
factor_34,"Количество выявленных сотрудниками подразделений по делам несовершеннолетних, дознания, ППС, ГИБДД, вневедомственной охраны, участковыми уполномоченными полиции безнадзорных, беспризорных несовершеннолетних"
factor_35,"Количество выявленных сотрудниками уголовного розыска несовершеннолетних, подозреваемых в совершении преступления"
factor_36,"Количество выявленных сотрудниками органов предварительного следствия несовершеннолетних, подозреваемых в совершении преступления"
factor_37,"Количество выявленных сотрудниками подразделений по делам несовершеннолетних, дознания, по контролю за оборотом наркотиков, ППС, ГАИ, участковыми уполномоченными полиции несовершеннолетних, подозреваемых в совершении преступления"
factor_38,"Количество преступлений, зарегистрированных в отчетном периоде по ст.105 УК РФ (Убийство)"
factor_39,"Количество преступлений, зарегистрированных в отчетном периоде по ст.111 УК РФ (Умышленное причинение тяжкого вреда здоровью)"
factor_40,"Количество преступлений, зарегистрированных в отчетном периоде по ст.131 УК РФ (Изнасилование)"
factor_41,"Количество преступлений, зарегистрированных в отчетном периоде по ст.158 УК РФ (Кража)"
factor_42,"Количество преступлений, зарегистрированных в отчетном периоде по ст.161 УК РФ (Грабёж)"
factor_43,"Количество преступлений, зарегистрированных в отчетном периоде по ст.162 УК РФ (Разбой)"
factor_44,"Количество преступлений, зарегистрированных в отчетном периоде по ст.163 УК РФ (Вымогательство)"
factor_45,"Количество преступлений, зарегистрированных в отчетном периоде по ст.213 УК РФ (Хулиганство)"
factor_46,Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде) по ст.105 УК РФ (Убийство)
factor_47,Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде) по ст.111 УК РФ (Умышленное причинение тяжкого вреда здоровью)
factor_48,Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде) по ст.131 УК РФ (Изнасилование)
factor_49,Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде) по ст.158 УК РФ (Кража)
factor_50,Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде) по ст.161 УК РФ (Грабёж)
factor_51,Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде) по ст.162 УК РФ (Разбой)
factor_52,Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде) по ст.163 УК РФ (Вымогательство)
factor_53,Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде) по ст.213 УК РФ (Хулиганство)
factor_54,"Количество преступлений, зарегистрированных в отчетном периоде"
factor_55,"Количество преступлений, зарегистрированных в отчетном периоде, в том числе тяжких и особо тяжких"
factor_56,"Количество преступлений, зарегистрированных в отчетном периоде, в том числе экономической направленности"
factor_57,Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистированных в отчетном периоде)
factor_58,"Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистированных в отчетном периоде), в том числе тяжких и особо тяжких"
factor_59,"Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистированных в отчетном периоде), в том числе экономической направленности"
factor_60,"Число тяжких и особо тяжких преступлений, совершенных на улицах, площадях, в парках, скверах, по отношению к 2011 году (%)"
factor_61,"Количество тяжких и особо тяжких преступлений, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых тяжких и особо тяжких преступлений), по отношению к 2011 году (%)"
factor_62,"Количество преступлений, предусмотренных ст.ст. 105-107 УК РФ, в том числе с применением ч. 3 ст. 30 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых убийств), по отношению к 2011 году (%)"
factor_63,"Количество преступлений, предусмотренных ст. 111 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых умышленных причинений тяжкого вреда здоровью), по отношению к 2011 году (%)"
factor_64,"Количество преступлений, предусмотренных ст. 162 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых разбоев), по отношению к 2011 году (%)"
factor_65,Доля несовершеннолетних участников преступлений от численности детского населения в возрасте от 14 до 17 лет (%)
factor_66,"Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде), в том числе тяжких и особо тяжких"
factor_67,"Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде), в том числе экономической направленности"
factor_68,Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде)
factor_69,"Количество преступлений, зарегистрированных в отчетном периоде, связанных с наркотическими средствами психотропными веществами и их аналогами, сильнодействующими веществами"
factor_70,"Количество предварительно расследованных преступлений в отчетном периоде, связанных с наркотическими средствами, психотропными веществами и их аналогами, сильнодействующими веществами (из числа находившихся в производстве или зарегистрированных в отчетном"
factor_71,"Выявлено лиц, совершивших преступления, связанные с наркотическими средствами, психотропными веществами и их аналогами, сильнодействующими веществами"
factor_72,"Изъято наркотических средств, психотропных веществ и их аналогов, сильнодействующих веществ (в гр.) по предварительно расследованным преступлениям"
factor_73,"Количество преступлений, зарегистрированных в отчетном периоде, связанных с незаконным оборотом наркотических средств, психотропных веществ и их прекурсоров или аналогов, сильнодействующих веществ, растений (либо их частей), содержащих наркотические средс"
factor_74,"Количество предварительно расследованных преступлений в отчетном периоде, связанных с незаконным оборотом наркотических средств, психотропных веществ и их прекурсоров или аналогов, сильнодействующих веществ, растений (либо их частей), содержащих наркотиче"
factor_75,"Выявлено лиц, совершивших преступления, связанных с незаконным оборотом наркотических средств, психотропных веществ и их прекурсоров или аналогов, сильнодействующих веществ, растений (либо их частей), содержащих наркотические средства или психотропные вещ"
factor_76,"Выявлено лиц, совершивших преступления, связанные с незаконным оборотом наркотических средств, психотропных веществ и их прекурсоров или аналогов, сильнодействующих веществ, растений (либо их частей), содержащих наркотические средства или психотропные вещ"
factor_77,"Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде), совершенных группой лиц"
factor_78,"Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде), совершенных группой лиц по предварительному сговору"
factor_79,"Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде), совершенных организованной группой"
factor_80,"Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде), совершенных преступным сообществом (преступной организацией)"
factor_81,"Выявлено лиц, совершивших преступления"
factor_82,"Выявлено лиц, совершивших преступления, в том числе женщин"
factor_83,"Выявлено лиц, совершивших преступления, в том числе несовершеннолетних"
factor_84,"Количество преступлений (из числа предварительно расследованных), совершенных лицами, ранее совершавшими преступления"
factor_85,"Количество преступлений (из числа предварительно расследованных), совершенных в состоянии алкогольного опьянения"
factor_86,"Количество преступлений (из числа предварительно расследованных), совершенных в состоянии наркотического опьянения"
factor_87,"Количество преступлений (из числа предварительно расследованных), совершенных в состоянии токсического опьянения"
factor_88,"Количество расследованных преступлений, совершенных лицами, ранее совершавшими преступления"
factor_89,"Количество расследованных преступлений, совершенных в состоянии алкогольного опьянения"
factor_90,"Количество расследованных преступлений, совершенных в состоянии наркотического опьянения"
factor_91,"Количество расследованных преступлений, совершенных в состоянии токсического опьянения"
